Date,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_price_above_50,nifty50_price_above_200,nifty50_dma200_slope_pct,nifty50_dist_200_z,nifty50_persistence_200,nifty50_vol_20,nifty50_vol_20_z,nifty50_vol_50,nifty50_vol_50_z,nifty50_mom_63,nifty50_mom_126,nifty50_mom_12_1,nifty50_mom_12_1_z,nifty_total_price_above_50,nifty_total_price_above_200,nifty_total_dma200_slope_pct,nifty_total_dist_200_z,nifty_total_persistence_200,nifty_total_vol_20,nifty_total_vol_20_z,nifty_total_vol_50,nifty_total_vol_50_z,nifty_total_mom_63,nifty_total_mom_126,nifty_total_mom_12_1,nifty_total_mom_12_1_z
2007-08-01,-596,-2.717588901977008,3.792544570502431,-1.4333030246530658,-11.73419773095624,8.233387358184766,-0.42976819703556796,-5.251215559157213,8.719611021069692,0.5494613890705262,-0.9076175040518635,-2.7263884933734097,0.40317159607547154,0.5086306053036518,0.3989398002398836,-0.26576730026821727,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-02,55,0.5192577332319791,4.473257698541329,-1.2570791849117156,-9.724473257698541,8.784440842787683,-0.28073436831180454,-3.824959481361425,8.849270664505672,0.6303353308467349,-0.648298217179903,-1.879728577035052,0.4033602349321641,0.5070424934045707,0.39818288728230744,-0.28915509805839923,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-03,227,1.3447070887450234,5.153970826580227,-1.0834570608017475,-9.594813614262563,9.238249594813615,-0.15685016803419133,-3.5980551053484593,8.978930307941653,0.7099886430275604,-0.48622366288492813,-0.8625061580663143,0.40452542708263434,0.5293125795043839,0.3976547169064848,-0.30480973859498794,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-06,-308,-1.24693067563532,4.5056726094003245,-1.2253448810499705,-11.18314424635332,8.46029173419773,-0.35341401220103136,-5.056726094003242,8.654781199351703,0.49264540619016706,-1.166936790923824,-2.417039712484081,0.4023917051737099,0.47194401398098806,0.3996743214382255,-0.23424891996578734,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-07,211,1.2650466661833373,5.575364667747164,-0.9621943364710012,-9.400324149108588,9.173419773095624,-0.1623074839376666,-4.116693679092384,8.881685575364667,0.6360820443172452,-0.648298217179903,-0.6581048722110122,0.40004700015066486,0.4096715648181526,0.3958539577426332,-0.361847867467944,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-08,377,1.9473585742960786,7.585089141004862,-0.48061842282976375,-6.87196110210697,10.113452188006484,0.08742352632983001,-3.209076175040517,9.27066450567261,0.8833971669873995,-0.4213938411669371,0.40617699076275887,0.40530809411471924,0.5305006660834547,0.3960350401221173,-0.35409299011980094,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-09,-363,-1.4584013826282953,5.413290113452188,-0.9891970362789908,-10.599675850891408,9.108589951377635,-0.17196301842886208,-5.0243111831442455,9.108589951377635,0.769672051094412,-1.0372771474878437,-0.847493830742297,0.4023131686395126,0.45176214921043045,0.3978902672191358,-0.2895510246744931,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-10,-330,-1.2520959096022564,4.927066450567261,-1.095092521966725,-10.340356564019448,8.557536466774716,-0.31236644929397195,-5.931928687196111,8.816855753646676,0.5725820456237415,-1.3938411669367934,-1.5901512974996599,0.3981347631250351,0.344341360198712,0.39374546867887256,-0.4291299065301649,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-13,288,1.485607066791693,6.515397082658023,-0.7132747274452166,-8.881685575364667,9.011345218800649,-0.18833681232763066,-5.510534846029174,9.043760129659644,0.7150250907732183,-1.4910858995137755,-0.46494255304125515,0.39408130879045095,0.23956021957314458,0.3952366710678308,-0.37941192140415664,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-14,8,0.23847035544770415,6.936790923824959,-0.6092322405983793,-7.034035656401946,9.076175040518638,-0.16698570891987732,-4.73257698541329,9.20583468395462,0.8137027350515361,-1.2317666126418132,-0.21605457795308097,0.39385845963084964,0.2282349879842183,0.39417739799012813,-0.4166242037391355,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-16,-542,-2.1472760891348037,4.4408427876823335,-1.1869358976586581,-8.881685575364667,6.7423014586709895,-0.7740542197900433,-6.709886547811993,8.557536466774716,0.38557497386603673,-1.8476499189627233,-2.549760715524446,0.40534584124149875,0.5028527383827199,0.39685821313945935,-0.3272728186272493,,,,,,,,,,,,,,,,,,,,,,,,,,
